order_date,Al Sharqiya,Alexandria,Cairo,Giza,Mansoura,Tanta
2020-10,,773225.078,2754935.17941,354950.83945,337552.02935,608850.944
2020-11,28528.4,2472441.97307,5207191.9957,327819.03689,851631.6932,2503883.61624
2020-12,1741903.19905,12417891.53593,30542591.75801,816484.40155,5522596.67291,5350089.51035
2021-01,76994.55694,1401103.56474,4060990.66103,77133.393,774852.83494,713098.93628
2021-02,138045.645,978043.8692,2326166.0764,41772.309,493416.924,432296.8722
2021-03,680824.006,5275346.444,13673083.232,422729.873,2569541.5715,2745678.043
2021-04,806106.718,7562211.31,19111406.3358,340828.668,4032008.313,4417211.8416
2021-05,101932.821,1813480.639,5520205.867,136351.64,1020807.301,1364182.964
2021-06,536060.3895,4794383.957,13424963.17325,218868.156,4026948.236,1936196.0645
2021-07,157572.915,3407142.354,8622081.5415,163065.64,4650960.417,2004957.898
2021-08,169458.275,3183003.865,10486447.75225,18039.373,4274556.345,2339733.385
2021-09,256736.356,1616247.7975,7105375.9819,143945.87,1080086.0395,1294651.5035
